,name,generate_part1,generate_part2,generate_part3,update_link,type,rank
12,Ligue_2,https://fbref.com/en/comps/60/,/schedule/,-Ligue-2-Scores-and-Fixtures,https://fbref.com/en/comps/60/schedule/Ligue-2-Scores-and-Fixtures,winter,13
13,2_Bundesliga,https://fbref.com/en/comps/33/,/schedule/,-2-Bundesliga-Scores-and-Fixtures,https://fbref.com/en/comps/33/schedule/2-Bundesliga-Scores-and-Fixtures,winter,14
14,Eerste_Divisie,https://fbref.com/en/comps/51/,/schedule/,-Eerste-Divisie-Scores-and-Fixtures,https://fbref.com/en/comps/51/schedule/Eerste-Divisie-Scores-and-Fixtures,winter,15
15,Argentina_Primera_Division,https://fbref.com/en/comps/21/,/schedule/,-Primera-Division-Scores-and-Fixtures,https://fbref.com/en/comps/21/schedule/Primera-Division-Scores-and-Fixtures,summer,16
16,Campeonato_Brasileiro_Serie_A,https://fbref.com/en/comps/24/,/schedule/,-Serie-A-Scores-and-Fixtures,https://fbref.com/en/comps/24/schedule/Serie-A-Scores-and-Fixtures,summer,17
17,Liga_MX_Mexico,https://fbref.com/en/comps/31/,/schedule/,-Liga-MX-Scores-and-Fixtures,https://fbref.com/en/comps/31/schedule/Liga-MX-Scores-and-Fixtures,winter,18
18,Major_League_Soccer,https://fbref.com/en/comps/22/,/schedule/,-Major-League-Soccer-Scores-and-Fixtures,https://fbref.com/en/comps/22/schedule/Major-League-Soccer-Scores-and-Fixtures,summer,19
19,Scottish_Championship,https://fbref.com/en/comps/72/,/schedule/,-Scottish-Championship-Scores-and-Fixtures,https://fbref.com/en/comps/72/schedule/Scottish-Championship-Scores-and-Fixtures,winter,20
20,Belgian_Pro_League,https://fbref.com/en/comps/37/,/schedule/,-Belgian-First-Division-A-Scores-and-Fixtures,https://fbref.com/en/comps/37/schedule/Belgian-Pro-League-Scores-and-Fixtures,winter,21
21,Super_League_Greece,https://fbref.com/en/comps/27/,/schedule/,-Super-League-Greece-Scores-and-Fixtures,https://fbref.com/en/comps/27/schedule/Super-League-Greece-Scores-and-Fixtures,winter,22
22,Challenger_Pro_League,https://fbref.com/en/comps/69/,/schedule/,-Belgian-First-Division-B-Scores-and-Fixtures,https://fbref.com/en/comps/69/schedule/Challenger-Pro-League-Scores-and-Fixtures,winter,23
23,Serie_B,https://fbref.com/en/comps/18/,/schedule/,-Serie-B-Scores-and-Fixtures,https://fbref.com/en/comps/18/schedule/Serie-B-Scores-and-Fixtures,winter,24
24,Copa_del_Rey,https://fbref.com/en/comps/569/,/schedule/,-Copa-del-Rey-Scores-and-Fixtures,https://fbref.com/en/comps/569/schedule/Copa-del-Rey-Scores-and-Fixtures,winter,25
25,FA_Cup,https://fbref.com/en/comps/514/,/schedule/,-FA-Cup-Scores-and-Fixtures,https://fbref.com/en/comps/514/schedule/FA-Cup-Scores-and-Fixtures,winter,26
26,FA_Community_Shield,https://fbref.com/en/comps/602/,/schedule/,-league-Scores-and-Fixtures,https://fbref.com/en/comps/602/schedule/league-Scores-and-Fixtures,summer,27
27,EFL_Cup,https://fbref.com/en/comps/690/,/schedule/,-EFL-Cup-Scores-and-Fixtures,https://fbref.com/en/comps/690/schedule/EFL-Cup-Scores-and-Fixtures,winter,28
